term,subject,name,email,cgpa,videourl,project_url,profilepic,public_profile_url
2022t2,MAD1,Dhruv Gaba,22f1000007@ds.study.iitm.ac.in,6.69,,https://drive.google.com/file/d/LHqwcuTCg4b,https://randomuser.me/api/portraits/men/82.jpg,https://www.vohra.com/
2022t3,MAD1,Fateh Barad,22f3000913@ds.study.iitm.ac.in,9.1,https://www.youtube.com/watch?v=sePfTsdI5R3,https://drive.google.com/file/d/lPN7ewdk4jC,https://randomuser.me/api/portraits/women/91.jpg,http://korpal.biz/
2023t3,MAD1,Dhruv Bhalla,21f2000396@ds.study.iitm.ac.in,6.71,https://www.youtube.com/watch?v=cjXu4SqY36E,https://drive.google.com/file/d/LjFWSkr7D-i,https://randomuser.me/api/portraits/men/5.jpg,https://www.issac-jha.com/
2024t3,MAD1,Zain Rajagopalan,22f3000171@ds.study.iitm.ac.in,8.68,https://www.youtube.com/watch?v=dgkjIA-PcQl,https://drive.google.com/file/d/YA3XKcdfgcO,https://randomuser.me/api/portraits/women/82.jpg,
2021t3,MAD1,Saanvi Som,22f3000110@ds.study.iitm.ac.in,9.43,,https://drive.google.com/file/d/KPYlgxk0nWd,https://randomuser.me/api/portraits/women/63.jpg,http://www.loyal.org/
2023t2,MAD1,Anahita Kohli,23f3000684@ds.study.iitm.ac.in,6.78,https://www.youtube.com/watch?v=r-gxjnSBc9a,https://drive.google.com/file/d/PTmoBMs7kOH,https://randomuser.me/api/portraits/men/54.jpg,http://www.bhakta.net/
2021t3,MAD1,Hridaan Bhat,24f3000489@ds.study.iitm.ac.in,6.43,https://www.youtube.com/watch?v=IY7sxeavg2J,https://drive.google.com/file/d/al6n7OFzU9z,https://randomuser.me/api/portraits/women/76.jpg,
2024t1,MAD1,Shlok Vora,21f2000575@ds.study.iitm.ac.in,6.57,,https://drive.google.com/file/d/QV9CsURMl3O,https://randomuser.me/api/portraits/women/66.jpg,https://www.dalia-dhillon.org/
2021t3,MAD1,Kaira Banik,21f2000348@ds.study.iitm.ac.in,8.61,https://www.youtube.com/watch?v=q4CfvPLsgif,https://drive.google.com/file/d/IAAc3AiNUuD,https://randomuser.me/api/portraits/men/60.jpg,http://www.ahuja.com/
2024t1,MAD1,Saira Saxena,23f2000692@ds.study.iitm.ac.in,6.92,https://www.youtube.com/watch?v=iQwEMGO_xaN,,,http://sheth-choudhry.biz/
2024t2,MAD1,Indrans Warrior,21f2000063@ds.study.iitm.ac.in,9.06,,https://drive.google.com/file/d/8NcHDZPEI6k,https://randomuser.me/api/portraits/women/65.jpg,https://tata.biz/
2024t2,MAD1,Saksham Dua,21f1000264@ds.study.iitm.ac.in,6.21,https://www.youtube.com/watch?v=AXjkHWjs7FU,https://drive.google.com/file/d/pZEw1CTGlzJ,https://randomuser.me/api/portraits/men/70.jpg,https://joshi-dube.com/
2024t1,MAD1,Aarush Raj,23f2000020@ds.study.iitm.ac.in,8.13,,https://drive.google.com/file/d/aHTC0Cyhzjs,https://randomuser.me/api/portraits/men/59.jpg,http://kapadia.net/
2021t2,MAD1,Raghav Lad,23f1000259@ds.study.iitm.ac.in,7.59,https://www.youtube.com/watch?v=CYHOHzFDHBi,https://drive.google.com/file/d/jRRoyj7W5Lm,,https://sahota.com/
2022t3,MAD1,Taran Lala,22f1000455@ds.study.iitm.ac.in,6.96,https://www.youtube.com/watch?v=3c3oi3BW0qA,https://drive.google.com/file/d/y8VtSaGZrhs,https://randomuser.me/api/portraits/women/97.jpg,https://www.lalla.com/
2021t3,MAD1,Nitya Shankar,23f1000419@ds.study.iitm.ac.in,6.58,https://www.youtube.com/watch?v=b2PADs84yG_,https://drive.google.com/file/d/BPbjfpYHILE,https://randomuser.me/api/portraits/men/50.jpg,http://suri.biz/
2024t3,MAD1,Jayant Ray,23f2000778@ds.study.iitm.ac.in,6.8,https://www.youtube.com/watch?v=YhIsn3QsM4F,https://drive.google.com/file/d/o67U-HVRzU9,,http://www.banerjee.com/
2021t3,MAD1,Fateh Dhingra,23f2000956@ds.study.iitm.ac.in,6.7,https://www.youtube.com/watch?v=YjNlJuG8ITl,https://drive.google.com/file/d/0TCUSYypd33,,https://datta.info/
2024t1,MAD1,Ritvik Kothari,24f1000690@ds.study.iitm.ac.in,9.09,,https://drive.google.com/file/d/90x_7Yq-_wG,https://randomuser.me/api/portraits/women/21.jpg,
2023t3,MAD1,Aniruddh Banerjee,23f3000551@ds.study.iitm.ac.in,8.67,https://www.youtube.com/watch?v=8Srg-ah2h9r,https://drive.google.com/file/d/yu7llzYf-k2,,http://www.ravel.net/
2022t2,MAD1,Abram Kunda,21f2000100@ds.study.iitm.ac.in,7.93,https://www.youtube.com/watch?v=cD_qIFkKOnT,https://drive.google.com/file/d/gTqxYI_DUn7,https://randomuser.me/api/portraits/men/69.jpg,http://www.roy-contractor.com/
2022t2,MAD1,Veer Rama,21f3000356@ds.study.iitm.ac.in,9.0,https://www.youtube.com/watch?v=yA4DZqUl8wt,,https://randomuser.me/api/portraits/women/52.jpg,https://www.tripathi.com/
2023t1,MAD1,Kiara Majumdar,23f3000062@ds.study.iitm.ac.in,7.26,https://www.youtube.com/watch?v=mw86YtG9YTB,,https://randomuser.me/api/portraits/women/31.jpg,
2022t2,MAD1,Amani Mann,21f3000962@ds.study.iitm.ac.in,9.8,https://www.youtube.com/watch?v=0SrjKWvme2S,https://drive.google.com/file/d/SQfhO2QvAsW,https://randomuser.me/api/portraits/women/93.jpg,
2024t2,MAD1,Anahi Bakshi,22f1000981@ds.study.iitm.ac.in,6.22,https://www.youtube.com/watch?v=K_6NXYjQrDG,https://drive.google.com/file/d/cQWcD_mZBOE,https://randomuser.me/api/portraits/men/47.jpg,http://www.cheema-boase.com/
