term,subject,name,email,cgpa,videourl,project_url,profilepic,public_profile_url
2022t2,MAD2,Elakshi Sachdev,24f2000007@ds.study.iitm.ac.in,7.31,,https://drive.google.com/file/d/hG1VduRUQEd,https://randomuser.me/api/portraits/women/67.jpg,https://ramakrishnan-keer.net/
2022t1,MAD2,Lakshay Raja,21f3000554@ds.study.iitm.ac.in,6.41,https://www.youtube.com/watch?v=FSk-Mq6bhZA,https://drive.google.com/file/d/Mfq9RIrI75s,https://randomuser.me/api/portraits/women/15.jpg,
2021t3,MAD2,Madhup Kurian,22f3000934@ds.study.iitm.ac.in,7.17,,https://drive.google.com/file/d/VdbXW1PRFUu,,
2024t3,MAD2,Dhanush Bhakta,23f1000140@ds.study.iitm.ac.in,8.96,https://www.youtube.com/watch?v=79ik7xG-O6g,https://drive.google.com/file/d/ojoqfp7XHTq,,http://www.talwar.com/
2024t2,MAD2,Onkar Korpal,21f3000174@ds.study.iitm.ac.in,7.7,https://www.youtube.com/watch?v=vneHyxHzHGX,https://drive.google.com/file/d/r-xI8ueqKbY,https://randomuser.me/api/portraits/men/26.jpg,http://www.karpe.com/
2024t2,MAD2,Riya Deshpande,22f3000234@ds.study.iitm.ac.in,7.62,https://www.youtube.com/watch?v=GhBFhw0aOL2,https://drive.google.com/file/d/a42txSuEAue,,https://goyal.net/
2024t2,MAD2,Sumer Sankar,24f1000408@ds.study.iitm.ac.in,8.8,https://www.youtube.com/watch?v=moktlS9bRr7,https://drive.google.com/file/d/7ZaQLhDB4ZB,https://randomuser.me/api/portraits/women/10.jpg,http://www.anne.net/
2022t3,MAD2,Adah Kala,21f1000431@ds.study.iitm.ac.in,8.9,https://www.youtube.com/watch?v=xmRGpIsbysW,https://drive.google.com/file/d/ZLy7hkVevso,https://randomuser.me/api/portraits/men/35.jpg,https://rege.org/
2022t2,MAD2,Ahana  Sagar,24f1000561@ds.study.iitm.ac.in,6.47,,https://drive.google.com/file/d/b_XoVC5xFxF,https://randomuser.me/api/portraits/women/20.jpg,http://swaminathan.net/
2024t1,MAD2,Yuvaan Halder,24f3000503@ds.study.iitm.ac.in,7.58,https://www.youtube.com/watch?v=QMJ_geEvvTW,https://drive.google.com/file/d/kTIIscgMwD7,https://randomuser.me/api/portraits/men/86.jpg,http://hayer-walia.com/
2022t3,MAD2,Vritika Iyengar,22f3000737@ds.study.iitm.ac.in,8.15,https://www.youtube.com/watch?v=jZ0POB7rTWo,https://drive.google.com/file/d/cBc2ik2el5d,https://randomuser.me/api/portraits/women/32.jpg,http://www.barad.net/
2023t1,MAD2,Stuvan Kuruvilla,23f3000079@ds.study.iitm.ac.in,6.51,https://www.youtube.com/watch?v=ILbXH8jt5YG,https://drive.google.com/file/d/0ofq_ccbh0C,https://randomuser.me/api/portraits/men/36.jpg,http://www.konda.com/
2021t1,MAD2,Nehmat Kamdar,21f1000715@ds.study.iitm.ac.in,9.1,https://www.youtube.com/watch?v=JpGOi4clkj0,,https://randomuser.me/api/portraits/men/77.jpg,http://bhagat.net/
2021t3,MAD2,Saksham Comar,22f1000454@ds.study.iitm.ac.in,8.42,https://www.youtube.com/watch?v=brOleNTtOtu,https://drive.google.com/file/d/dGnp_G6RSpG,https://randomuser.me/api/portraits/men/41.jpg,https://sandal-sundaram.com/
2024t3,MAD2,Tanya Rege,24f3000537@ds.study.iitm.ac.in,9.14,https://www.youtube.com/watch?v=wDqjhJa6U5Z,https://drive.google.com/file/d/a3S2Zu8x-QT,https://randomuser.me/api/portraits/women/43.jpg,
2024t1,MAD2,Seher Raju,21f2000805@ds.study.iitm.ac.in,7.11,,https://drive.google.com/file/d/yKK__8rI59F,https://randomuser.me/api/portraits/women/98.jpg,
2024t2,MAD2,Anaya Bora,23f3000011@ds.study.iitm.ac.in,9.41,,https://drive.google.com/file/d/y-gBzUlxpeO,https://randomuser.me/api/portraits/women/87.jpg,http://atwal-mane.com/
2023t1,MAD2,Ahana  Jha,22f1000048@ds.study.iitm.ac.in,7.2,,,https://randomuser.me/api/portraits/women/91.jpg,https://mani.com/
2024t3,MAD2,Jivin Tiwari,23f1000177@ds.study.iitm.ac.in,6.78,,https://drive.google.com/file/d/ef51a4SGL6_,https://randomuser.me/api/portraits/men/28.jpg,http://toor.com/
2023t2,MAD2,Shayak Wali,21f3000797@ds.study.iitm.ac.in,6.45,https://www.youtube.com/watch?v=2018W4tQ9TP,https://drive.google.com/file/d/IKN-AHJ279E,https://randomuser.me/api/portraits/women/9.jpg,https://www.sarkar-bedi.net/
2021t2,MAD2,Yuvraj  Arya,22f2000408@ds.study.iitm.ac.in,8.87,https://www.youtube.com/watch?v=QzwInrLmhzp,https://drive.google.com/file/d/wersHER-4pi,,http://dora.com/
2022t2,MAD2,Aayush Gaba,24f1000843@ds.study.iitm.ac.in,9.09,https://www.youtube.com/watch?v=IR70D_0vH8f,https://drive.google.com/file/d/UIAdUqX9faN,,https://shere-iyengar.com/
2024t1,MAD2,Kavya Dey,23f1000841@ds.study.iitm.ac.in,6.65,https://www.youtube.com/watch?v=1eI4d5LSRil,https://drive.google.com/file/d/VAF362urLD1,https://randomuser.me/api/portraits/women/82.jpg,
2021t1,MAD2,Emir Sarna,24f3000171@ds.study.iitm.ac.in,7.87,https://www.youtube.com/watch?v=57HcsF4Wbei,,https://randomuser.me/api/portraits/men/15.jpg,
2021t1,MAD2,Kiara Varghese,23f1000856@ds.study.iitm.ac.in,7.03,https://www.youtube.com/watch?v=pYkwixFe1CQ,https://drive.google.com/file/d/Vv22AEQV4k5,https://randomuser.me/api/portraits/men/33.jpg,http://reddy.com/
